municipio_id,nombre,provincia,poblacion,presupuesto,year,indice_transparencia,sub_apertura_score,sub_apertura_portal,sub_apertura_formatos,sub_apertura_api,sub_apertura_actualizado,sub_compras_score,sub_compras_licitacion,sub_compras_directa,sub_compras_hhi,sub_rendicion_score,sub_rendicion_informes,sub_rendicion_recomendaciones,sub_rendicion_sanciones,sub_declaraciones_score,sub_declaraciones_pct,sub_declaraciones_tiempo,num_contratos,monto_total_contratos,pct_licitacion_publica,pct_contratacion_directa,hhi_proveedores,num_proveedores_unicos,pct_declaraciones,pct_informes_auditoria,num_sanciones,peso_apertura,peso_compras,peso_rendicion,peso_declaraciones,ranking
100170,Otavalo,Imbabura,90000,40000000,2025,51.2,36.2,30,6.2,0,0,57.7,5.2,24.6,27.9,41.7,26.7,0.0,15,73.3,51.4,21.9,122,7894972.89,13.1,18.0,708.14,16,85.7,66.7,1,0.3,0.3,0.2,0.2,35
170230,Pelileo,Tungurahua,30000,15000000,2025,50.1,37.5,30,7.5,0,0,55.6,7.2,21.0,27.4,58.3,30.0,13.3,15,52.6,30.0,22.6,50,3041590.18,18.0,30.0,872.0,15,50.0,75.0,1,0.3,0.3,0.2,0.2,36
090150,Samborondón,Guayas,70000,60000000,2025,50.0,37.0,30,7.0,0,0,52.5,6.1,18.9,27.6,56.1,30.0,6.1,20,59.6,38.2,21.4,46,2725721.57,15.2,37.0,812.85,16,63.6,75.0,0,0.3,0.3,0.2,0.2,37
170450,Baños,Tungurahua,20000,13000000,2025,50.0,37.1,30,7.1,0,0,55.3,5.6,22.1,27.6,66.4,40.0,16.4,10,45.1,34.3,10.9,57,3762850.18,14.0,26.3,809.48,15,57.1,100.0,2,0.3,0.3,0.2,0.2,38
140001,Nueva Loja,Sucumbíos,45000,30000000,2025,47.3,4.7,0,4.7,0,0,50.6,3.2,20.5,26.9,94.7,40.0,34.7,20,58.9,38.6,20.3,38,1848216.88,7.9,31.6,1038.78,13,64.3,100.0,0,0.3,0.3,0.2,0.2,39
060680,Sucre,Manabí,20000,12000000,2025,46.0,37.2,30,7.2,0,0,56.9,5.8,23.1,28.0,15.0,0.0,0.0,15,74.0,50.8,23.3,118,8803028.68,14.4,22.9,673.66,16,84.6,0.0,1,0.3,0.3,0.2,0.2,40
250001,Aguarico,Orellana,10000,8000000,2025,45.8,4.7,0,4.7,0,0,56.7,5.2,23.6,27.9,80.3,30.0,30.3,20,56.6,36.9,19.7,130,7137893.29,13.1,21.5,695.86,16,61.5,75.0,0,0.3,0.3,0.2,0.2,41
210001,Zamora,Zamora Chinchipe,30000,22000000,2025,45.6,4.5,0,4.5,0,0,54.0,3.4,22.8,27.8,76.0,40.0,21.0,15,64.1,42.8,21.2,58,3383715.24,8.6,24.1,743.16,15,71.4,100.0,1,0.3,0.3,0.2,0.2,42
110250,Alausí,Chimborazo,25000,12000000,2025,45.2,5.1,0,5.1,0,0,57.1,4.3,25.1,27.6,66.7,26.7,20.0,20,66.2,50.0,16.2,74,3984390.96,10.8,16.2,796.2,15,83.3,66.7,0,0.3,0.3,0.2,0.2,43
040001,Loja,Loja,200000,90000000,2025,44.4,5.5,0,5.5,0,0,55.3,5.8,21.8,27.7,66.9,40.0,16.9,10,63.9,46.1,17.8,55,3175298.49,14.5,27.3,776.86,16,76.9,100.0,2,0.3,0.3,0.2,0.2,44
160001,Quevedo,Los Ríos,165000,70000000,2025,44.0,37.4,30,7.4,0,0,55.7,6.6,21.3,27.8,20.0,0.0,0.0,20,60.5,42.8,17.7,110,7237943.97,16.4,29.1,723.97,16,71.4,0.0,0,0.3,0.3,0.2,0.2,45
180350,Salcedo,Cotopaxi,20000,10000000,2025,43.3,5.6,0,5.6,0,0,54.8,4.1,22.9,27.8,57.5,40.0,7.5,10,68.5,53.3,15.1,98,4821284.43,10.2,23.5,737.19,16,88.9,100.0,2,0.3,0.3,0.2,0.2,46
010170,Cayambe,Pichincha,90000,45000000,2025,42.0,5.5,0,5.5,0,0,52.5,4.1,20.5,27.8,55.0,40.0,0.0,15,68.2,42.0,26.2,117,5454878.33,10.3,31.6,729.78,16,70.0,100.0,1,0.3,0.3,0.2,0.2,47
040170,Catamayo,Loja,25000,12000000,2025,40.6,5.9,0,5.9,0,0,54.9,4.9,22.1,27.8,56.6,13.3,28.3,15,55.4,36.0,19.4,57,3436286.94,12.3,26.3,717.14,16,60.0,33.3,1,0.3,0.3,0.2,0.2,48
020230,Bolívar,Carchi,18000,9000000,2025,38.0,4.5,0,4.5,0,0,57.3,6.6,22.9,27.8,44.0,30.0,4.0,10,53.3,37.5,15.8,97,6506239.65,16.5,23.7,728.03,16,62.5,75.0,2,0.3,0.3,0.2,0.2,49
060170,Chone,Manabí,90000,40000000,2025,36.9,4.7,0,4.7,0,0,61.1,9.0,24.3,27.8,25.3,0.0,5.3,20,60.5,41.5,18.9,58,4854292.08,22.4,19.0,731.27,16,69.2,0.0,0,0.3,0.3,0.2,0.2,50
