id,nombre,provincia,poblacion,presupuesto,densidad_urbana,pib_per_capita,tasa_pobreza,tasa_analfabetismo,cobertura_agua,idh,densidad_poblacional,area_km2,municipio_id,num_contratos,monto_total,avg_monto_contrato,pct_licitacion_publica,pct_contratacion_directa,hhi_proveedores,num_proveedores_unicos,num_contratos_por_habitante,total_autoridades,autoridades_con_declaracion,pct_declaraciones,avg_dias_publicacion,num_auditorias,num_informes,pct_informes,total_recomendaciones,recomendaciones_cumplidas,pct_recomendaciones_cumplidas,num_sanciones,tiene_portal_transparencia,portal_score,formatos_abiertos,api_disponible,datos_actualizados,year
140001,Nueva Loja,Sucumbíos,45000,30000000,65.0,4608.0,51.5,10.8,66.9,0.742,324.0,138.9,140001,38,1848216.88,48637.29,7.9,31.6,1038.78,13,0.8444,14,9,64.3,88.7,2,2,100.0,15,13,86.7,0,False,23.3,18.7,False,False,2025
150001,Santa Elena,Santa Elena,145000,55000000,51.1,9863.0,36.6,10.0,76.2,0.55,195.9,740.3,150001,65,3339722.8,51380.35,12.3,32.3,840.24,15,0.4483,10,8,80.0,99.0,1,1,100.0,1,0,0.0,0,True,35.8,28.6,False,False,2025
190001,Puyo,Pastaza,40000,30000000,45.8,11362.0,50.1,10.5,67.3,0.567,445.1,89.9,190001,120,6189255.37,51577.13,10.0,26.7,683.33,16,3.0,10,7,70.0,75.6,2,2,100.0,19,17,89.5,1,True,33.5,26.8,False,False,2025
200001,Tena,Napo,40000,28000000,82.9,3771.0,34.4,3.6,85.4,0.78,107.8,371.1,200001,134,8085852.77,60342.18,12.7,25.4,737.36,16,3.35,8,6,75.0,84.5,1,1,100.0,10,9,90.0,0,True,40.6,32.5,False,True,2025
210001,Zamora,Zamora Chinchipe,30000,22000000,64.0,7948.0,25.6,10.9,71.9,0.614,292.7,102.5,210001,58,3383715.24,58339.92,8.6,24.1,743.16,15,1.9333,7,5,71.4,84.4,3,3,100.0,21,11,52.4,1,False,22.5,18.0,False,False,2025
220001,Macas,Morona Santiago,25000,20000000,74.2,4810.0,27.5,12.0,81.0,0.681,282.9,88.4,220001,120,10768035.01,89733.63,19.2,24.2,690.28,16,4.8,14,12,85.7,75.7,3,2,66.7,26,15,57.7,0,True,46.3,37.0,False,True,2025
240001,Francisco de Orellana,Orellana,45000,30000000,49.8,5022.0,28.5,8.3,64.2,0.616,81.9,549.1,240001,118,8675426.49,73520.56,17.8,17.8,675.09,16,2.6222,14,11,78.6,77.0,4,3,75.0,34,13,38.2,3,True,38.5,30.8,False,False,2025
250001,Aguarico,Orellana,10000,8000000,70.2,5060.0,51.2,10.7,57.8,0.621,351.0,28.5,250001,130,7137893.29,54906.87,13.1,21.5,695.86,16,13.0,13,8,61.5,91.2,4,3,75.0,37,28,75.7,0,False,23.2,18.6,False,False,2025
010170,Cayambe,Pichincha,90000,45000000,53.6,4191.0,52.4,8.1,73.9,0.785,413.4,217.7,010170,117,5454878.33,46622.89,10.3,31.6,729.78,16,1.3,10,7,70.0,62.0,1,1,100.0,0,0,0,1,False,27.8,22.2,False,False,2025
010230,Mejía,Pichincha,85000,40000000,52.6,3872.0,32.2,6.8,73.7,0.769,353.0,240.8,010230,99,6667985.69,67353.39,17.2,25.3,672.38,16,1.1647,14,8,57.1,102.4,3,3,100.0,28,12,42.9,1,True,45.2,36.1,False,True,2025
010450,Rumiñahui,Pichincha,100000,55000000,84.4,3886.0,31.1,6.1,89.5,0.625,135.6,737.5,010450,64,4043604.52,63181.32,12.5,31.2,722.66,16,0.64,13,9,69.2,63.2,4,4,100.0,24,16,66.7,1,True,30.1,24.1,False,False,2025
090050,Daule,Guayas,130000,50000000,62.9,6797.0,26.1,5.2,91.9,0.683,437.6,297.1,090050,59,3525526.26,59754.68,13.6,25.4,721.06,16,0.4538,12,6,50.0,110.2,2,2,100.0,9,3,33.3,0,True,33.4,26.7,False,False,2025
090110,Milagro,Guayas,170000,65000000,67.0,3455.0,55.0,10.5,93.8,0.828,431.9,393.6,090110,107,10515076.67,98271.74,26.2,20.6,760.77,16,0.6294,10,8,80.0,126.2,2,1,50.0,15,4,26.7,0,True,42.2,33.8,False,True,2025
090150,Samborondón,Guayas,70000,60000000,51.7,7371.0,23.5,6.6,57.3,0.664,493.4,141.9,090150,46,2725721.57,59254.82,15.2,37.0,812.85,16,0.6571,11,7,63.6,83.6,4,3,75.0,33,5,15.2,0,True,35.0,28.0,False,False,2025
030170,Girón,Azuay,15000,10000000,55.6,10057.0,33.2,6.8,93.3,0.849,300.1,50.0,030170,68,4624240.54,68003.54,17.6,27.9,748.27,16,4.5333,7,6,85.7,45.2,1,1,100.0,6,5,83.3,0,False,21.9,17.6,False,False,2025
030100,Gualaceo,Azuay,45000,20000000,73.7,4393.0,26.9,11.7,78.2,0.713,386.6,116.4,030100,50,2680100.6,53602.01,8.0,20.0,760.0,14,1.1111,9,7,77.8,61.0,2,2,100.0,5,0,0.0,2,True,43.8,35.0,False,True,2025
120350,La Concordia,Santo Domingo,45000,25000000,47.3,8258.0,35.1,10.7,61.3,0.838,86.1,523.0,120350,73,5142185.72,70440.9,20.5,20.5,748.73,16,1.6222,12,9,75.0,107.2,3,3,100.0,14,6,42.9,2,True,45.1,36.1,False,True,2025
130350,Atacames,Esmeraldas,40000,18000000,52.4,8355.0,42.0,5.1,59.8,0.817,160.8,248.8,130350,146,10014263.26,68590.84,13.0,23.3,674.61,16,3.65,10,9,90.0,110.7,4,1,25.0,33,13,39.4,0,True,45.8,36.6,False,True,2025
060170,Chone,Manabí,90000,40000000,68.8,8574.0,31.8,8.3,75.9,0.83,141.9,634.2,060170,58,4854292.08,83694.69,22.4,19.0,731.27,16,0.6444,13,9,69.2,94.8,1,0,0.0,15,2,13.3,0,False,23.4,18.7,False,False,2025
060470,Jipijapa,Manabí,65000,25000000,73.6,5148.0,30.8,9.0,67.0,0.645,388.3,167.4,060470,99,7619653.64,76966.2,16.2,30.3,723.4,16,1.5231,13,10,76.9,116.4,2,1,50.0,24,10,41.7,1,True,42.1,33.7,False,True,2025
060680,Sucre,Manabí,20000,12000000,47.9,7125.0,54.9,12.0,57.9,0.614,169.3,118.1,060680,118,8803028.68,74601.94,14.4,22.9,673.66,16,5.9,13,11,84.6,75.3,1,0,0.0,3,0,0.0,1,True,36.2,29.0,False,False,2025
170230,Pelileo,Tungurahua,30000,15000000,82.3,10928.0,50.2,6.3,61.3,0.8,366.6,81.8,170230,50,3041590.18,60831.8,18.0,30.0,872.0,15,1.6667,14,7,50.0,78.1,4,3,75.0,30,10,33.3,1,True,37.3,29.8,False,False,2025
170450,Baños,Tungurahua,20000,13000000,69.5,11885.0,41.2,3.1,87.7,0.64,348.5,57.4,170450,57,3762850.18,66014.92,14.0,26.3,809.48,15,2.85,7,4,57.1,131.0,2,2,100.0,22,9,40.9,2,True,35.4,28.3,False,False,2025
110250,Alausí,Chimborazo,25000,12000000,82.6,4209.0,19.6,4.0,77.1,0.632,322.2,77.6,110250,74,3984390.96,53843.12,10.8,16.2,796.2,15,2.96,12,10,83.3,107.2,3,2,66.7,12,6,50.0,0,False,25.5,20.4,False,False,2025
110170,Guano,Chimborazo,45000,18000000,73.7,4832.0,40.4,5.4,74.5,0.822,430.7,104.5,110170,135,6820216.03,50520.12,11.1,31.9,687.52,16,3.0,8,5,62.5,40.8,4,2,50.0,33,18,54.5,0,True,38.6,30.9,False,False,2025
040170,Catamayo,Loja,25000,12000000,48.7,6812.0,26.1,3.0,85.8,0.741,167.9,148.9,040170,57,3436286.94,60285.74,12.3,26.3,717.14,16,2.28,10,6,60.0,92.8,3,1,33.3,24,17,70.8,1,False,29.4,23.5,False,False,2025
040350,Saraguro,Loja,10000,6000000,74.6,7965.0,32.1,3.1,58.0,0.815,456.8,21.9,040350,126,9382332.26,74462.95,14.3,27.0,651.3,16,12.6,12,9,75.0,42.6,2,2,100.0,18,7,38.9,1,True,40.9,32.8,False,True,2025
020170,Espejo,Carchi,15000,8000000,66.8,10511.0,38.3,4.3,60.1,0.642,454.5,33.0,020170,139,10320678.04,74249.48,18.0,16.5,678.54,16,9.2667,10,6,60.0,84.3,1,1,100.0,3,0,0.0,0,True,36.8,29.4,False,False,2025
020230,Bolívar,Carchi,18000,9000000,76.8,10746.0,51.0,4.9,65.0,0.581,401.1,44.9,020230,97,6506239.65,67074.64,16.5,23.7,728.03,16,5.3889,8,5,62.5,108.8,4,3,75.0,20,2,10.0,2,False,22.4,18.0,False,False,2025
180230,Pujilí,Cotopaxi,35000,15000000,80.4,6657.0,39.8,4.4,92.2,0.809,489.3,71.5,180230,113,6432615.19,56925.8,12.4,22.1,715.01,16,3.2286,10,7,70.0,76.0,1,1,100.0,13,3,23.1,0,True,39.1,31.3,False,False,2025
180350,Salcedo,Cotopaxi,20000,10000000,77.4,10933.0,16.0,9.6,68.3,0.829,411.0,48.7,180350,98,4821284.43,49196.78,10.2,23.5,737.19,16,4.9,9,8,88.9,112.0,4,4,100.0,32,6,18.8,2,False,28.2,22.5,False,False,2025
100170,Otavalo,Imbabura,90000,40000000,79.6,10297.0,25.7,10.1,59.3,0.812,436.4,206.2,100170,122,7894972.89,64712.89,13.1,18.0,708.14,16,1.3556,14,12,85.7,81.5,3,2,66.7,18,0,0.0,1,True,30.9,24.8,False,False,2025
100350,Cotacachi,Imbabura,40000,18000000,53.9,10349.0,33.4,5.7,86.8,0.618,60.6,659.5,100350,124,8438078.52,68049.02,17.7,21.0,733.61,16,3.1,9,7,77.8,55.9,1,1,100.0,8,6,75.0,0,False,17.7,14.2,False,False,2025
160170,Buena Fe,Los Ríos,35000,15000000,52.7,5954.0,49.6,11.7,66.2,0.742,229.9,152.3,160170,30,2110257.09,70341.9,20.0,10.0,1177.78,11,0.8571,7,6,85.7,61.5,1,1,100.0,1,1,100.0,0,True,45.3,36.3,False,True,2025
